artistName,sPlayed,count,genres
Bruce Springsteen,409,1,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
Brut.,7,1,[]
Bullet For My Valentine,291,1,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'uk metalcore', 'welsh metal']"
Bérurier Noir,2,1,"['french oi', 'french punk', 'french reggae', 'french rock']"
C418,4878,27,"['dream smp', 'minecraft']"
CMC 3,745,4,"['background jazz', 'dinner jazz']"
Camille Saint-Saëns,202,1,"['classical', 'french romanticism', 'late romantic era']"
Captain Isekai,128,1,['anime lo-fi']
Carly Pearce,328,2,"['contemporary country', 'country pop']"
Carpenter Brut,597,3,"['cyberpunk', 'darksynth', 'synthwave']"
Casseurs Flowters,231,1,"['french hip hop', 'rap conscient']"
Cattle Decapitation,268,1,"['american grindcore', 'brutal death metal', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'technical death metal', 'technical grindcore']"
Celldweller,302,1,"['alternative metal', 'future rock', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock']"
Chance Thomas,207,1,"['middle earth', 'video game music']"
Charlotte Cardin,13,1,"['canadian pop', 'indie quebecois']"
Chase Rice,214,2,"['contemporary country', 'country', 'country road', 'modern country rock']"
Chet Baker,332,2,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']"
Chevelle,218,1,"['alternative metal', 'alternative rock', 'christian rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
Chiens de Paille,519,3,"['french hip hop', 'old school rap francais', 'rap inde', 'rap marseille']"
Chipzel,2758,15,"['chiptune', 'speedrun']"
Chris Christodoulou,13689,50,"['indie game soundtrack', 'video game music']"
Chris Remo,214,1,"['indie game soundtrack', 'video game music']"
Chris Stapleton,238,3,"['contemporary country', 'outlaw country']"
Christian Reindl,1383,7,['epicore']
Christoffer Moe Ditlevsen,2910,14,[]
Christophe,349,2,"['chanson', 'french pop', 'french rock', 'vintage french electronic']"
Christopher Larkin,135348,894,"['indie game soundtrack', 'oceania soundtrack', 'video game music']"
Christopher Lee,15351,69,"['comic metal', 'middle earth']"
Christopher Tin,1162,6,['video game music']
Cinematic Lullabies,40,1,[]
City of the Fallen,114,1,['epicore']
Clamavi De Profundis,54967,176,"['middle earth', 'shanty']"
Claude Debussy,1281,5,"['classical', 'impressionism', 'post-romantic era']"
Colette Magny,1,1,[]
Comptines TV,72,1,"['comptine', 'musique pour enfants']"
ConcernedApe,9047,59,"['indie game soundtrack', 'video game music']"
Corey Taylor,290,1,"['alternative metal', 'alternative rock', 'nu metal']"
Corpo-Mente,494,2,['avant-rock']
Corvus Corax,271,1,"['folk metal', 'hurdy-gurdy', 'medieval folk', 'medieval rock', 'rune folk']"
Cotton Jones,192,1,"['baroque pop', 'freak folk', 'indie folk', 'indie rock', 'stomp and holler']"
Cream,1541,9,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']"
"Crosby, Stills & Nash",157,1,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
"Crosby, Stills, Nash & Young",625,3,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'supergroup']"
Cruachan,279,1,"['celtic metal', 'celtic rock', 'folk black metal', 'folk metal', 'irish black metal', 'irish metal', 'viking metal']"
Cult Of Luna,1713,4,"['atmospheric sludge', 'drone metal', 'post-doom metal', 'post-metal', 'post-rock', 'progressive sludge', 'slayer', 'sludge metal', 'swedish doom metal', 'swedish progressive metal']"
Curtis Schweitzer,3117,13,"['indie game soundtrack', 'video game music']"
Cymande,906,2,"['afrobeat', 'afropop', 'funk', 'jazz funk', 'psychedelic soul', 'soul', 'world']"
Céline Dion,2986,13,"['canadian pop', 'dance pop']"
DM DOKURO,1041,3,[]
Dan Auerbach,226,1,"['funk', 'garage rock', 'indie folk', 'modern blues rock', 'modern rock', 'rock', 'stomp and holler']"
Danger,515,3,"['dark clubbing', 'darksynth', 'electro house', 'filter house']"
Daniel Deluxe,190,1,"['dark clubbing', 'darksynth', 'synthwave']"
Daniel Koestner,372,2,['indie game soundtrack']
Daniel Norgren,25337,77,"['swedish americana', 'swedish singer-songwriter']"
Daniel Olsén,2025,13,['indie game soundtrack']
Danny Baranowsky,2320,15,"['indie game soundtrack', 'video game music']"
Danzig,408,2,"['alternative metal', 'hard rock', 'metal', 'rock']"
Dark Moor,219,1,"['melodic metal', 'neo classical metal', 'power metal', 'spanish metal', 'symphonic metal', 'symphonic power metal']"
Dark Tranquillity,1641,6,"['death metal', 'gothenburg metal', 'melodic death metal', 'metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']"
Daron Malakian and Scars On Broadway,1761,11,"['alternative metal', 'nu metal']"
Darren Korb,23973,99,"['indie game soundtrack', 'japanese vgm', 'video game music']"
Dave Holland,395,1,"['avant-garde jazz', 'british jazz', 'contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'free jazz', 'japanese jazz', 'jazz', 'jazz double bass', 'jazz fusion', 'library music', 'uk contemporary jazz']"
David Arkenstone,653,3,"['new age', 'video game music']"
David Bowie,597,2,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
David Fenn,9317,58,"['indie game soundtrack', 'video game music']"
David Gilmour,452,2,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'rock', 'symphonic rock']"
Dean Martin,1415,9,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Death,2196,11,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'hard rock', 'metal', 'rock', 'technical death metal']"
Death Angel,214,1,"['death metal', 'hard rock', 'metal', 'old school thrash', 'thrash metal']"
Deen Burbigo,163,1,"['french hip hop', 'pop urbaine', 'rap calme', 'rap francais', 'rap inde']"
Deep Purple,3593,18,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']"
Deftones,5,1,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
Demon Hunter,244,1,"['alternative metal', 'christian alternative rock', 'christian metal', 'christian metalcore', 'christian rock', 'melodic metalcore', 'nu metal']"
Demons & Wizards,356,1,"['german metal', 'german power metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']"
Derek & The Dominos,846,2,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
Derek Duke,1687,9,['video game music']
Devin Townsend,797,3,"['alternative metal', 'canadian metal', 'progressive metal', 'vancouver metal']"
Devin Townsend Project,1239,4,"['avant-garde metal', 'canadian metal', 'djent', 'progressive metal', 'vancouver metal']"
Diablo Swing Orchestra,32439,166,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']"
Diam's,1,1,"['francoton', 'french hip hop', 'french pop', 'pop urbaine']"
Diamond Head,468,1,"['hard rock', 'metal', 'nwobhm', 'speed metal', 'thrash metal']"
Diana Krall,267,1,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'lounge', 'vocal jazz']"
Dick Annegarn,405,3,['chanson']
Dierks Bentley,410,3,"['contemporary country', 'country', 'country road']"
Dimmu Borgir,279,1,"['black metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'symphonic black metal', 'symphonic metal']"
Dio,2785,11,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock']"
Dire Straits,65938,233,"['album rock', 'classic rock', 'mellow gold', 'rock']"
Disasterpeace,4715,39,"['chiptune', 'indie game soundtrack', 'video game music']"
Disiz,819,9,"['french hip hop', 'pop urbaine', 'rap calme', 'rap conscient', 'rap inde']"
Disturbed,1268,5,"['alternative metal', 'nu metal', 'rap metal']"
Dj Cutman,1645,9,"['otacore', 'vgm remix']"
Django,247,1,"['french hip hop', 'pop urbaine', 'rap calme', 'rap francais']"
Django Django,472,3,"['alternative dance', 'chamber psych', 'electronic rock', 'electronica', 'indie rock', 'new rave', 'shimmer pop']"
Dmitri Shostakovich,223,1,"['classical', 'compositional ambient', 'russian modern classical']"
Doc Gynéco,248,2,"['french hip hop', 'french reggae', 'musique guadeloupe', 'old school rap francais', 'rap conscient']"
Donut's GANG,39130,202,[]
Dope,746,4,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock']"
Doris Day,151,1,"['adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']"
Doyle W. Donehoo,2205,14,"['epicore', 'scorecore', 'video game music']"
Draconian,407,1,"['doom metal', 'gothic metal', 'gothic symphonic metal', 'neoclassical darkwave', 'swedish doom metal', 'swedish metal']"
Dream Cave,2391,18,[]
Dream Theater,1855,5,"['metal', 'progressive metal', 'rock']"
Dries Riesen,1270,5,[]
Drowning Pool,201,1,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'wrestling']"
Dubmood,110,1,"['chiptune', 'nintendocore', 'swedish synth']"
Duponte et Duponte,652,4,[]
