artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Alcest,Là où naissent les couleurs nouvelles,530,1,"['atmospheric black metal', 'blackgaze', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze']",51JtsdzE4QwCbnqTSXfYXf,530106.0,0.206,0.000163,0.898,0.85,0.281,0.207,-6.942,0.0534,133.071,4.0,4.0
Alcest,Sapphire,300,1,"['atmospheric black metal', 'blackgaze', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze']",5DFnmcshyxsonqTvanqZPY,300503.0,0.402,1.05e-05,0.76,0.85,0.0791,0.199,-8.138,0.0386,74.999,8.0,4.0
Alestorm,Treasure Chest Party Quest,23,1,"['british power metal', 'comic', 'comic metal', 'metal', 'pirate', 'power metal', 'scottish metal']",55Kb2DuTwGClu8wk8pryfl,256389.0,0.492,0.000174,0.964,2.34e-05,0.469,0.535,-5.43,0.0628,75.079,5.0,4.0
Alice In Chains,Nutshell,259,1,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",2JuasWPUodaUxf5nwNpciQ,259200.0,0.384,0.373,0.561,0.253,0.0775,0.159,-10.059,0.0296,136.136,3.0,3.0
Alien Ant Farm,Smooth Criminal,221,2,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap rock']",5z6xHjCZr7a7AIcy8sPBKy,209266.0,0.653,0.00316,0.964,0.00512,0.144,0.87,-4.261,0.0582,126.928,9.0,4.0
Alter Bridge,Blackbird,478,1,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",2o4AknH1hXnleCRW2rH45w,478133.0,0.279,0.00499,0.806,0.0126,0.116,0.132,-4.714,0.0448,149.463,6.0,3.0
Alter Bridge,Broken Wings,1530,6,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",7ePjtuqKqa0ZbzznCNqiEf,306600.0,0.449,0.00656,0.72,6.84e-05,0.127,0.114,-5.382,0.0355,138.482,10.0,4.0
Alter Bridge,Godspeed,256,1,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",5DZjPUe1FG3Fw4ykoxZFxu,256596.0,0.461,4.62e-06,0.911,0.655,0.156,0.302,-6.371,0.0561,120.034,8.0,4.0
Alter Bridge,In Loving Memory,1515,6,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",0T9tbj6zsRKLiUx06sbOWX,340106.0,0.304,0.00749,0.637,6.44e-05,0.216,0.174,-5.922,0.0334,140.498,6.0,4.0
Alter Bridge,Metalingus,259,1,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",3UULkHdmLDqBDPmBYltoRE,259959.0,0.496,9.33e-06,0.981,0.0,0.0958,0.163,-3.268,0.108,109.905,8.0,4.0
