artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Johannes Bornlöf,"Hunger, Thirst",1463,11,"['calming instrumental', 'focus', 'neo-classical']",2CH3Ub29VJrqNgg0v2fx0D,133268.0,0.142,0.4,0.171,0.888,0.131,0.0312,-20.416,0.0387,139.547,7.0,4.0
Johannes Bornlöf,Let's Run Away Together,1593,9,"['calming instrumental', 'focus', 'neo-classical']",2HfkmgoO8fLWRFeksDGpa6,177875.0,0.281,0.981,0.149,0.825,0.0787,0.0633,-18.729,0.0366,80.346,7.0,4.0
Johannes Bornlöf,The Lost Cities,1260,9,"['calming instrumental', 'focus', 'neo-classical']",6UbRxJUyHzgkWHr17ETDcp,140574.0,0.173,0.927,0.195,0.944,0.0824,0.0287,-16.625,0.0395,73.171,4.0,4.0
John Abbot,A March Across Ancient Land,1760,12,[],0l3VuArlNjQnRV1FbkfOHf,176250.0,0.224,0.72,0.266,0.966,0.0696,0.0336,-15.424,0.0322,84.952,8.0,4.0
John Barry,"The James Bond Theme (From ""Dr. No"")",86,1,"['adult standards', 'british soundtrack', 'classic soundtrack', 'scorecore', 'soundtrack']",,,,,,,,,,,,,
John Lee Hooker,I Put My Trust In You,319,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",3de9QMMvkyDop04qy2w92t,319466.0,0.501,0.502,0.306,1.8e-05,0.137,0.682,-15.933,0.0658,170.938,0.0,3.0
John Lee Hooker,I'll Never Trust Your Love Again,203,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",,,,,,,,,,,,,
John Lee Hooker,I'm In The Mood,167,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",,,,,,,,,,,,,
John Lee Hooker,Let's Go Out Tonight,537,2,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",4JjcjkUvtgf4qwOCaqbqoF,414600.0,0.51,0.507,0.542,2.55e-06,0.118,0.856,-15.503,0.0749,175.093,7.0,4.0
John Lee Hooker,"One Bourbon, One Scotch, One Beer",184,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2dp14VWbIxOVNmaWKkVB1r,184960.0,0.746,0.494,0.56,0.0,0.316,0.854,-14.789,0.0565,124.68,5.0,4.0
John Lee Hooker,Peace Lovin' Man,233,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2rcqFSD81SzmYig0a06rLr,233360.0,0.734,0.77,0.348,2.98e-06,0.0761,0.801,-14.538,0.061,110.897,0.0,3.0
John Lee Hooker,Stella Mae,184,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",1kUbawlVQyu6oZzKRn6RYe,184506.0,0.767,0.677,0.43,3.24e-05,0.0725,0.874,-14.948,0.0801,114.958,0.0,4.0
John Lee Hooker,The Waterfront,89,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",6N4rqRMdQCfT0lTXuFx72D,319040.0,0.439,0.885,0.0378,0.000225,0.196,0.212,-27.058,0.0662,146.297,5.0,3.0
John Lee Hooker,"You Know, I Know",233,1,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2PoCFAeqx7VDDwljQpxjts,233266.0,0.699,0.58,0.481,3.29e-06,0.184,0.892,-15.154,0.054,117.957,2.0,4.0
John Lennon,Hold On - Remastered 2010,112,1,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",4bN43jYf41eIjJZ3UXQpuA,112040.0,0.684,0.538,0.21,0.031,0.143,0.681,-18.204,0.0841,83.383,1.0,4.0
John Lennon,Imagine - Remastered 2010,187,1,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",7pKfPomDEeI4TPT6EOYjn9,187866.0,0.547,0.907,0.257,0.183,0.0935,0.169,-12.358,0.0252,75.752,0.0,4.0
John Lennon,Jealous Guy - Remastered 2010,257,1,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",3D9iV6cYkYJRAPFO6DRKIE,257786.0,0.489,0.877,0.389,0.32,0.105,0.254,-11.653,0.0284,131.366,4.0,4.0
John Lennon,Stand By Me - Remastered 2010,211,1,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",3ntrdR24dLkKrzSGRv1FlH,211666.0,0.632,0.29,0.556,0.0215,0.0779,0.633,-10.138,0.0288,104.996,9.0,4.0
John Lennon,Working Class Hero - Remastered 2010,227,1,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",1yKQBy7olMIqRpziyAzf8c,227933.0,0.484,0.728,0.165,1.19e-06,0.115,0.193,-18.568,0.0498,159.174,7.0,3.0
Johnny Cash,Hurt,216,1,"['arkansas country', 'outlaw country']",28cnXtME493VX9NOw9cIUh,216533.0,0.534,0.649,0.392,0.000227,0.0948,0.163,-7.636,0.0267,90.379,9.0,4.0
Jonathan Wilson,Desert Raven,478,1,"['modern folk rock', 'neo-psychedelic', 'pop rock']",0QhRc9zvsoJ08eqGiRSu38,478413.0,0.313,0.0111,0.59,0.159,0.0856,0.408,-10.93,0.0384,188.629,2.0,4.0
Jonathan Young,I Wanna Be Like You,229,1,"['comic', 'otacore']",0Aio1GxdxYIQdvghmUcYDR,229392.0,0.556,0.111,0.836,2e-06,0.219,0.685,-6.062,0.0999,90.589,4.0,4.0
Joris de Man,Aloy's Theme (feat. Julie Elven) - Part 1 - Motherland,453,3,"['scorecore', 'soundtrack', 'video game music']",14Raww1VcizsEpQQpbEqbd,151124.0,0.0861,0.644,0.261,0.883,0.11,0.0392,-19.117,0.0479,169.147,9.0,5.0
Joris de Man,Prologue (feat. Julie Elven) - Part 1 - Motherland,2691,9,"['scorecore', 'soundtrack', 'video game music']",0KApFwJKlOknXLLt8mDEmi,329409.0,0.0723,0.916,0.122,0.256,0.0993,0.0345,-20.647,0.044,78.334,5.0,4.0
Joris de Man,Victory (feat. Julie Elven) - Part 1 - Motherland,546,3,"['scorecore', 'soundtrack', 'video game music']",16FZ9rlcwyMpsTRdSYtqkj,182872.0,0.175,0.032,0.307,0.443,0.109,0.0585,-18.926,0.0474,120.862,10.0,4.0
Joseph Lawrence,Caldeum,431,1,[],7g0zqnPXCdB6Qkp618lrbZ,431200.0,0.177,0.312,0.617,0.847,0.273,0.088,-15.685,0.0615,95.787,6.0,4.0
Joseph Lawrence,Leoric,979,3,[],7xAw90tdIqIf8QSCK03ToY,490493.0,0.119,0.802,0.35,0.824,0.0959,0.0581,-16.329,0.0344,83.496,10.0,4.0
José González,Heartbeats,160,1,"['gothenburg indie', 'indie folk', 'neo mellow', 'stomp and holler', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter']",3jQyadhLTxpxadQlkFh2b8,160240.0,0.394,0.976,0.151,0.739,0.0664,0.31,-16.748,0.0359,178.051,3.0,4.0
José González,Stay Alive,266,1,"['gothenburg indie', 'indie folk', 'neo mellow', 'stomp and holler', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter']",0ZNYGrmcehorhh9JOeg5Iv,266906.0,0.714,0.726,0.306,0.168,0.0924,0.314,-12.111,0.0388,129.984,6.0,4.0
Judas Priest,Angel,675,3,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'power metal', 'rock']",0HSqXHUdHUbDjWxYIClohv,264200.0,0.532,0.014,0.441,0.0,0.11,0.204,-7.86,0.0243,83.998,11.0,4.0
Judas Priest,Beyond the Realms of Death,770,2,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'power metal', 'rock']",3Rtv6zRNKpeSygXoaF9kCm,409800.0,0.287,0.0381,0.716,3.24e-05,0.164,0.544,-5.653,0.0311,172.123,11.0,4.0
Judas Priest,Breaking the Law,153,1,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'power metal', 'rock']",2RaA6kIcvomt77qlIgGhCT,153840.0,0.362,0.024,0.961,9.35e-06,0.159,0.491,-5.664,0.0857,164.019,2.0,4.0
Judas Priest,Lightning Strike,209,1,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'power metal', 'rock']",6qopop1Rc9r1RjEIBQhc8d,209453.0,0.521,1.69e-05,0.915,0.43,0.065,0.336,-5.705,0.0544,112.507,9.0,3.0
Judas Priest,Living After Midnight,210,1,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'power metal', 'rock']",0IXpUl1fn2QZcBavfuq0H4,210133.0,0.61,0.0136,0.824,1.75e-06,0.0606,0.819,-6.046,0.0534,134.992,4.0,4.0
Julie London,Fly Me To The Moon (In Other Words),159,1,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",5hbNSo9Ckl7ku8664sn0Jj,159106.0,0.335,0.698,0.508,0.000382,0.0788,0.767,-11.763,0.0473,86.298,5.0,4.0
Julie London,Sway - Remastered,31,1,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",1LQpHqd7s22WHogUGJdgqJ,155866.0,0.591,0.711,0.234,0.0,0.107,0.364,-15.49,0.0369,107.267,4.0,4.0
Julos Beaucarne,De mémoire de rose,34,1,[],0Dp5PeywVgxduDUWRfVsq5,170573.0,0.538,0.92,0.183,0.0,0.156,0.523,-10.422,0.0392,108.339,4.0,1.0
Just Music Beats,"Mon texte, le savon, Pt. 4",898,4,['rap marseille'],36f21qyE2GiHCDlEArlZ78,264200.0,0.473,0.138,0.721,0.0,0.243,0.404,-7.701,0.369,74.237,2.0,4.0
Justin Bell,Burial Isle,110,1,['video game music'],2XhGiYKILtbcv9rkMkobpT,110278.0,0.22,0.881,0.0765,0.938,0.084,0.0317,-13.243,0.0411,76.333,10.0,4.0
Justin Bell,Defiance Bay,760,4,['video game music'],4NRoYlVwzhgeIatWLUzx6x,190267.0,0.209,0.974,0.105,0.711,0.102,0.114,-14.804,0.0301,82.225,10.0,4.0
Justin Bell,Elmshore,456,3,['video game music'],6x2vzCfYoV5MSx6pvdwkdv,152164.0,0.288,0.73,0.193,0.831,0.0734,0.0382,-15.969,0.0393,77.944,10.0,3.0
Justin Bell,Twin Elms,931,4,['video game music'],5DXwCicqdBf9BoxDcHsXUm,280994.0,0.0823,0.978,0.111,0.915,0.107,0.0341,-14.544,0.0406,69.109,4.0,5.0
Justin E. Bell,Hope (Title Theme),930,2,['video game music'],5UE1l5fozj8mkaZMk1xmBX,465286.0,0.0789,0.508,0.381,0.878,0.106,0.0396,-13.426,0.0349,174.987,2.0,5.0
KISS,Detroit Rock City,430,2,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",2jz6rWGqVCYsymwxGoaON4,215933.0,0.546,0.0421,0.9,4.57e-05,0.292,0.447,-6.728,0.0691,90.591,5.0,4.0
KISS,Hard Luck Woman,214,1,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",1vcZBUX6P6FHXzG2mUfmCE,214666.0,0.668,0.666,0.867,0.0,0.22,0.963,-7.594,0.033,124.613,11.0,4.0
KISS,Heaven's On Fire,201,1,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",1brpdmqkx3kSxyqzqXfW7J,201400.0,0.679,0.00376,0.866,3.1e-05,0.312,0.785,-6.053,0.0635,124.324,0.0,4.0
KISS,I Was Made For Lovin' You,271,1,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",07q0QVgO56EorrSGHC48y3,271240.0,0.768,0.214,0.852,7.36e-05,0.0723,0.867,-6.215,0.038,128.373,4.0,4.0
KISS,Rock And Roll All Nite,336,3,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",6KTv0Z8BmVqM7DPxbGzpVC,168840.0,0.654,0.0468,0.929,0.0,0.0539,0.902,-5.906,0.0998,144.774,1.0,4.0
Kacem Wapalek,Le temps passe,0,1,['rap lyonnais'],4EKwKxsNbwrhePutRGuB3c,229306.0,0.477,0.584,0.63,0.0,0.105,0.732,-7.833,0.414,178.251,4.0,4.0
Kacem Wapalek,Vingt sur vingt,250,2,['rap lyonnais'],0jvIOfwBbnXjm72jz0aY8O,250784.0,0.794,0.236,0.535,1.42e-05,0.0723,0.714,-8.585,0.312,82.01,7.0,4.0
Kalmah,Moon Of My Nights,297,2,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'folk metal', 'melodic death metal', 'metal', 'oulu metal']",5OO37imzceddVeX8pb4iCf,372346.0,0.43,4.04e-05,0.937,0.634,0.0739,0.237,-6.48,0.048,135.039,0.0,4.0
Kansas,Dust in the Wind,206,1,"['album rock', 'art rock', 'bow pop', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",6zeE5tKyr8Nu882DQhhSQI,206266.0,0.475,0.367,0.322,0.00056,0.11,0.387,-10.687,0.0283,93.503,7.0,4.0
Katatonia,Decima,286,1,"['alternative metal', 'doom metal', 'gothic metal', 'metal', 'progressive metal', 'swedish doom metal', 'swedish metal', 'swedish progressive metal']",6OCQnfXr2G4KaRREAeqayz,286960.0,0.521,0.00401,0.5,0.00346,0.151,0.333,-7.866,0.0261,139.871,5.0,3.0
Katatonia,Lacquer,281,2,"['alternative metal', 'doom metal', 'gothic metal', 'metal', 'progressive metal', 'swedish doom metal', 'swedish metal', 'swedish progressive metal']",0qA9j2IpP4voAIj9FXxHeb,282106.0,0.527,0.219,0.453,3.93e-05,0.104,0.179,-11.677,0.033,120.024,0.0,3.0
Katatonia,My Twin - Studio,221,1,"['alternative metal', 'doom metal', 'gothic metal', 'metal', 'progressive metal', 'swedish doom metal', 'swedish metal', 'swedish progressive metal']",0ZEigpVOtVunIcimL7dJuh,221066.0,0.419,0.00249,0.83,0.00721,0.286,0.386,-6.707,0.0313,95.001,5.0,4.0
